Signal Date,Entry Date,Symbol,Market Cap,Sector,Nifty Open,Nifty Close,Nifty Chg %,Entry Price,Target 1 Price,Target 2 Price,Target 3 Price,Initial SL Price,Final SL Price,Peak High,Peak Gain %,Exit Price,Holding Days,Outcome,Realized Return %,Status
2026-08-31,2026-09-01,MANALIPETC,Smallcap,Energy,24077.55,24055.8,-0.09,84.0,87.36,90.72,94.08,82.74,86.24,88.0,4.76,86.24,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.33,Completed
2026-08-31,2026-09-01,MOREPENLAB,Midcap,Healthcare,24077.55,24055.8,-0.09,106.98,111.26,115.54,119.82,105.38,105.38,110.32,3.12,105.38,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,BLISSGVS,Midcap,Healthcare,24077.55,24055.8,-0.09,614.0,638.56,663.12,687.68,604.79,604.79,635.0,3.42,604.79,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,MODISONLTD,Smallcap,Industrials,24077.55,24055.8,-0.09,485.0,504.4,523.8,543.2,477.72,477.72,499.45,2.98,477.72,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,IVP,Smallcap,Chemicals,24077.55,24055.8,-0.09,207.0,215.28,223.56,231.84,203.9,203.9,208.95,0.94,203.9,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,IVC,Smallcap,Financials,24077.55,24055.8,-0.09,8.36,8.7,9.03,9.37,8.24,8.57,8.74,4.53,8.57,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.22,Completed
2026-08-31,2026-09-01,SHAHALLOYS,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,107.0,111.28,115.56,119.84,105.39,113.68,116.0,8.41,113.68,1,🎯 T1 & T2 Booked + Trailing SL Hit (Day 1),5.65,Completed
2026-08-31,2026-09-01,KALYANIFRG,Smallcap,Industrials,24077.55,24055.8,-0.09,974.7,1013.69,1052.68,1091.66,960.08,1013.69,1097.15,12.56,1091.66,1,🚀 Target 3 Hit (Day 1),6.8,Completed
2026-08-31,2026-09-01,MAHASTEEL,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,1372.0,1426.88,1481.76,1536.64,1351.42,1351.42,1421.0,3.57,1351.42,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,PVP,Smallcap,Realty,24077.55,24055.8,-0.09,67.7,70.41,73.12,75.82,66.68,70.46,71.9,6.2,70.46,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),4.04,Completed
2026-08-31,2026-09-01,ICIL,Midcap,Textiles,24077.55,24055.8,-0.09,470.95,489.79,508.63,527.46,463.89,463.89,471.2,0.05,463.89,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,BODALCHEM,Smallcap,Chemicals,24077.55,24055.8,-0.09,122.0,126.88,131.76,136.64,120.17,128.62,131.25,7.58,128.62,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),4.72,Completed
2026-08-31,2026-09-01,ORIENTBELL,Smallcap,Building Materials,24077.55,24055.8,-0.09,390.4,406.02,421.63,437.25,384.54,405.08,413.35,5.88,405.08,1,🛡️ Trailing SL Hit (T1 Booked) (Day 1),3.88,Completed
2026-08-31,2026-09-01,SHILPAMED,Midcap,Healthcare,24077.55,24055.8,-0.09,949.4,987.38,1025.36,1063.33,935.16,935.16,951.4,0.21,935.16,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,BHAGERIA,Smallcap,Chemicals,24077.55,24055.8,-0.09,263.2,273.73,284.26,294.78,259.25,270.82,276.35,5.0,270.82,2,🛡️ Trailing SL Hit (T1 Booked) (Day 2),3.45,Completed
2026-08-31,2026-09-01,GATECH,Smallcap,I.T,24077.55,24055.8,-0.09,1.05,1.09,1.13,1.18,1.03,1.03,1.05,0.0,1.03,2,🛑 Stop Loss Hit (Day 2),-1.5,Completed
2026-08-31,2026-09-01,STLTECH,Largecap,Industrials,24077.55,24055.8,-0.09,738.0,767.52,797.04,826.56,726.93,726.93,738.0,0.0,726.93,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,CALSOFT,Smallcap,I.T,24077.55,24055.8,-0.09,38.69,40.24,41.79,43.33,38.11,38.11,39.13,1.14,38.11,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,OFSS,Largecap,I.T,24077.55,24055.8,-0.09,12350.0,12844.0,13338.0,13832.0,12164.75,12164.75,12353.0,0.02,12164.75,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,DIVISLAB,Largecap,Healthcare,24077.55,24055.8,-0.09,9251.5,9621.56,9991.62,10361.68,9112.73,9112.73,9262.5,0.12,9112.73,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,IMPEXFERRO,Smallcap,Metals & Mining,24077.55,24055.8,-0.09,4.46,4.64,4.82,5.0,4.39,4.39,4.63,3.81,4.63,3,⏱️ Exited at Day 3 Close,3.81,Completed
2026-08-31,2026-09-01,CORDSCABLE,Smallcap,Industrials,24077.55,24055.8,-0.09,285.0,296.4,307.8,319.2,280.73,309.68,316.0,10.88,309.68,1,🎯 T1 & T2 Booked + Trailing SL Hit (Day 1),6.13,Completed
2026-08-31,2026-09-01,KIRIINDUS,Smallcap,Chemicals,24077.55,24055.8,-0.09,533.7,555.05,576.4,597.74,525.69,525.69,536.45,0.52,525.69,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,BAFNAPH,Smallcap,Healthcare,24077.55,24055.8,-0.09,307.0,319.28,331.56,343.84,302.39,302.39,318.5,3.75,302.39,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,FCL,Midcap,Chemicals,24077.55,24055.8,-0.09,50.95,52.99,55.02,57.06,50.18,50.18,51.25,0.59,50.18,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
2026-08-31,2026-09-01,VINCOFE,Smallcap,Consumer Discretionary,24077.55,24055.8,-0.09,185.77,193.2,200.63,208.06,182.98,182.98,185.77,0.0,182.98,1,🛑 Stop Loss Hit (Day 1),-1.5,Completed
