Combo_ID,Target_1_Pct,Target_2_Pct,Target_3_Pct,Stop_Loss_Pct,Max_Holding_Days,Enable_Trailing_SL,Trailing_SL_Pct,Trail_Trigger,T1_Book_Pct,T2_Book_Pct,T3_Runner_Pct,Allocation_Profile,Total_Trades,Completed_Trades,Wins,Losses,Win_Rate_Pct,Avg_Return_Pct,Profit_Factor,T1_Hit_Count,T1_Hit_Rate_Pct,T2_Hit_Count,T2_Hit_Rate_Pct,T3_Hit_Count,T3_Hit_Rate_Pct,Trail_SL_Hit_Count,SL_Hit_Count,Best_Stock,Worst_Stock,CSV_File
COMBO_0136,5.0,10.0,20.0,2.5,7,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,168,298,35.9,0.48,1.31,156,33.3,50,10.7,4,0.9,148,293,BODALCHEM (+9.50%),MANALIPETC (-2.50%),trades_T1_5.0_T2_10.0_T3_20.0_SL_2.5_H7_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0158,3.5,6.0,10.0,3.0,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,234,232,50.0,0.47,1.33,182,38.9,58,12.4,45,9.6,175,222,KALYANIFRG (+5.55%),MOREPENLAB (-3.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_3.0_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0128,5.0,10.0,20.0,2.5,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,174,289,37.2,0.47,1.31,141,30.1,47,10.0,3,0.6,137,274,BODALCHEM (+9.50%),MANALIPETC (-2.50%),trades_T1_5.0_T2_10.0_T3_20.0_SL_2.5_H3_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0155,3.0,6.0,10.0,3.0,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,247,218,52.8,0.46,1.35,195,41.7,49,10.5,43,9.2,186,203,KALYANIFRG (+5.30%),MODISONLTD (-3.00%),trades_T1_3.0_T2_6.0_T3_10.0_SL_3.0_H3_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0156,3.0,6.0,10.0,3.0,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,246,220,52.6,0.45,1.33,198,42.3,56,12.0,43,9.2,191,211,KALYANIFRG (+5.30%),MODISONLTD (-3.00%),trades_T1_3.0_T2_6.0_T3_10.0_SL_3.0_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0120,5.0,8.0,15.0,2.5,5,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,171,295,36.5,0.44,1.28,138,29.5,59,12.6,20,4.3,129,288,PAR (+7.90%),MANALIPETC (-2.50%),trades_T1_5.0_T2_8.0_T3_15.0_SL_2.5_H5_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0159,4.0,8.0,12.0,3.0,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,212,252,45.3,0.43,1.28,156,33.3,36,7.7,33,7.1,152,232,KALYANIFRG (+6.80%),MOREPENLAB (-3.00%),trades_T1_4.0_T2_8.0_T3_12.0_SL_3.0_H3_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0124,5.0,8.0,15.0,2.5,7,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,168,298,35.9,0.43,1.27,140,29.9,64,13.7,20,4.3,132,293,PAR (+7.90%),MANALIPETC (-2.50%),trades_T1_5.0_T2_8.0_T3_15.0_SL_2.5_H7_TSL2.0_BE_Q1_50_Q2_30.csv
COMBO_0195,3.5,6.0,10.0,2.0,3,False,0.0,None,70.0,30.0,0.0,HeavyT1_70_30,498,468,213,252,45.5,0.42,1.4,148,31.6,52,11.1,60,12.8,24,248,IVC (+4.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_70_Q2_30.csv
COMBO_0116,5.0,8.0,15.0,2.5,3,True,2.0,After Target 1,50.0,30.0,20.0,Balanced_50_30_20,498,468,174,289,37.2,0.42,1.28,125,26.7,58,12.4,19,4.1,121,274,PAR (+7.90%),MANALIPETC (-2.50%),trades_T1_5.0_T2_8.0_T3_15.0_SL_2.5_H3_TSL2.0_BE_Q1_50_Q2_30.csv
